Time(s);F1(l/h);F2(l/h);T1(degC);T2(degC);T3(degC);T4(degC);Configurazione
0;0;628;26.09;52.19;26.83;51.79;Altra-operazione
1;0;588;26.09;52.09;26.83;51.68;Altra-operazione
2;0;588;26.09;52.09;26.83;51.79;Altra-operazione
3;0;567;26.09;52.09;26.83;51.79;Altra-operazione
4;0;548;25.99;52.09;26.83;51.79;Altra-operazione
5;0;533;25.99;52.09;26.83;51.79;Altra-operazione
6;0;494;25.99;52.09;26.83;51.79;Altra-operazione
7;0;492;25.99;52.09;26.83;51.79;Altra-operazione
8;0;573;25.99;52.09;26.83;51.79;Altra-operazione
9;0;558;25.99;52.09;26.83;51.79;Altra-operazione
10;0;541;25.99;52.09;26.83;51.79;Altra-operazione
11;0;579;25.99;52.09;26.83;51.79;Altra-operazione
13;0;563;25.99;52.09;26.72;51.79;Altra-operazione
14;9;551;25.99;52.09;26.72;51.79;Altra-operazione
15;7;474;25.99;52.19;26.72;51.79;Altra-operazione
16;3;549;25.99;52.09;26.72;51.79;Altra-operazione
18;0;541;25.89;52.09;26.72;51.79;Altra-operazione
19;0;519;25.89;52.09;26.72;51.79;Altra-operazione
20;0;538;25.99;52.09;26.72;51.79;Altra-operazione
21;0;385;25.89;52.09;26.72;51.79;Altra-operazione
22;0;422;25.89;52.09;26.62;51.79;Altra-operazione
24;0;572;25.89;52.09;26.62;51.79;Altra-operazione
25;0;611;25.89;52.09;26.62;51.79;Altra-operazione
26;0;581;25.89;52.09;26.72;51.79;Altra-operazione
27;0;564;25.89;52.19;26.62;51.79;Altra-operazione
28;0;561;25.89;52.09;26.62;51.79;Altra-operazione
30;0;604;25.89;52.19;26.62;51.79;Altra-operazione
31;0;666;25.78;52.19;26.62;51.79;Altra-operazione
32;0;637;25.78;52.19;26.62;51.79;Altra-operazione
33;0;584;25.78;52.19;26.62;51.79;Altra-operazione
34;0;624;25.89;52.19;26.62;51.79;Altra-operazione
36;0;660;25.78;52.19;26.62;51.79;Altra-operazione
37;0;657;25.78;52.19;26.52;51.79;Altra-operazione
38;0;628;25.78;52.09;26.52;51.79;Altra-operazione
39;0;561;25.78;52.19;26.52;51.79;Altra-operazione
40;0;498;25.78;52.19;26.52;51.79;Altra-operazione
41;0;551;25.78;52.09;26.52;51.79;Altra-operazione
42;0;583;25.68;52.19;26.52;51.79;Altra-operazione
43;0;534;25.68;52.09;26.52;51.79;Altra-operazione
44;0;455;25.78;52.09;26.52;51.79;Altra-operazione
45;0;476;25.68;52.19;26.41;51.79;Altra-operazione
46;0;575;25.68;52.19;26.52;51.79;Altra-operazione
47;0;604;25.68;52.19;26.41;51.79;Altra-operazione
48;0;580;25.68;52.09;26.41;51.79;Altra-operazione
49;0;623;25.68;52.09;26.41;51.79;Altra-operazione
50;0;610;25.68;52.19;26.41;51.79;Altra-operazione
51;0;544;25.68;52.09;26.41;51.79;Altra-operazione
52;0;534;25.68;52.19;26.41;51.79;Altra-operazione
53;0;621;25.58;52.19;26.41;51.79;Altra-operazione
54;0;546;25.58;52.19;26.41;51.79;Altra-operazione
55;0;509;25.58;52.19;26.41;51.79;Altra-operazione
56;0;547;25.58;52.19;26.31;51.79;Altra-operazione
57;0;538;25.58;52.19;26.31;51.79;Altra-operazione
59;0;494;25.58;52.19;26.31;51.79;Altra-operazione
60;0;570;25.58;52.19;26.31;51.79;Altra-operazione
61;0;626;25.58;52.19;26.31;51.79;Altra-operazione
62;0;598;25.58;52.19;26.31;51.79;Altra-operazione
63;0;593;25.58;52.19;26.31;51.79;Altra-operazione
64;0;708;25.58;52.19;26.31;51.79;Altra-operazione
65;0;635;25.58;52.19;26.31;51.79;Altra-operazione
66;0;613;25.58;52.19;26.31;51.79;Altra-operazione
67;0;566;25.47;52.19;26.31;51.79;Altra-operazione
68;1;641;25.58;52.19;26.20;51.79;Altra-operazione
69;4;581;25.58;52.19;26.31;51.79;Altra-operazione
70;1;569;25.47;52.19;26.20;51.79;Altra-operazione
71;0;584;25.47;52.19;26.20;51.79;Altra-operazione
72;0;589;25.47;52.19;26.20;51.79;Altra-operazione
73;0;651;25.47;52.19;26.20;51.79;Altra-operazione
74;4;621;25.47;52.19;26.20;51.79;Altra-operazione
75;2;620;25.47;52.19;26.20;51.79;Altra-operazione
76;1;622;25.47;52.19;26.20;51.79;Altra-operazione
77;0;591;25.47;52.19;26.20;51.79;Altra-operazione
78;0;611;25.37;52.19;26.20;51.79;Altra-operazione
79;0;549;25.37;52.19;26.20;51.79;Altra-operazione
80;0;496;25.47;52.19;26.10;51.79;Altra-operazione
81;0;489;25.47;52.19;26.20;51.79;Altra-operazione
82;3;522;25.37;52.19;26.20;51.79;Altra-operazione
83;1;494;25.47;52.19;26.10;51.79;Altra-operazione
84;1;509;25.47;52.19;26.10;51.89;Altra-operazione
86;0;486;25.37;52.19;26.10;51.79;Altra-operazione
87;0;544;25.37;52.19;26.10;51.79;Altra-operazione
88;0;631;25.37;52.19;26.00;51.79;Altra-operazione
90;1;658;25.37;52.19;26.00;51.79;Altra-operazione
91;0;636;25.37;52.19;26.00;51.79;Altra-operazione
92;0;634;25.37;52.19;26.00;51.79;Altra-operazione
93;0;650;25.37;52.19;26.00;51.79;Altra-operazione
94;0;579;25.37;52.19;26.00;51.79;Altra-operazione
95;0;570;25.37;52.19;26.00;51.79;Altra-operazione
96;0;560;25.37;52.19;26.00;51.79;Altra-operazione
97;0;586;25.27;52.19;26.00;51.79;Altra-operazione
98;0;570;25.27;52.19;26.00;51.79;Altra-operazione
99;0;541;25.37;52.19;25.89;51.79;Altra-operazione
100;0;572;25.27;52.19;25.89;51.79;Altra-operazione
101;0;591;25.37;52.19;25.89;51.79;Altra-operazione
102;0;625;25.27;52.19;25.89;51.79;Altra-operazione
103;0;585;25.27;52.19;25.89;51.79;Altra-operazione
104;1;531;25.27;52.19;25.89;51.79;Altra-operazione
105;1;583;25.27;52.19;25.89;51.79;Altra-operazione
106;0;606;25.27;52.19;25.89;51.79;Altra-operazione
107;0;607;25.27;52.19;25.89;51.79;Altra-operazione
108;0;568;25.27;52.19;25.89;51.79;Altra-operazione
109;0;555;25.27;52.19;25.89;51.79;Altra-operazione
110;0;559;25.27;52.19;25.79;51.79;Altra-operazione
111;0;657;25.27;52.19;25.79;51.79;Altra-operazione
112;0;604;25.16;52.19;25.79;51.79;Altra-operazione
113;0;614;25.16;52.19;25.79;51.79;Altra-operazione
114;0;643;25.16;52.19;25.79;51.79;Altra-operazione
115;0;626;25.16;52.19;25.79;51.79;Altra-operazione
116;0;599;25.16;52.19;25.79;51.79;Altra-operazione
117;0;566;25.16;52.19;25.79;51.79;Altra-operazione
118;0;517;25.16;52.19;25.79;51.79;Altra-operazione
119;0;573;25.16;52.19;25.79;51.79;Altra-operazione
120;7;618;25.16;52.19;25.79;51.79;Altra-operazione
121;6;571;25.16;52.19;25.79;51.79;Altra-operazione
122;0;493;25.16;52.19;25.79;51.79;Altra-operazione
123;0;579;25.16;52.19;25.79;51.79;Altra-operazione
124;0;549;25.16;52.19;25.79;51.79;Altra-operazione
125;0;555;25.16;52.19;25.79;51.79;Altra-operazione
126;2;455;25.16;52.19;25.79;51.79;Altra-operazione
128;0;602;25.06;52.19;25.79;51.79;Altra-operazione
129;0;554;25.06;52.19;25.79;51.79;Altra-operazione
131;0;544;25.06;52.19;25.68;51.79;Altra-operazione
132;0;554;25.16;52.19;25.68;51.79;Altra-operazione
133;0;596;25.16;52.19;25.68;51.79;Altra-operazione
134;0;603;25.06;52.19;25.68;51.79;Altra-operazione
135;0;566;25.06;52.19;25.68;51.79;Altra-operazione
136;0;538;25.06;52.19;25.68;51.79;Altra-operazione
137;0;587;25.16;52.19;25.68;51.79;Altra-operazione
138;0;564;25.06;52.19;25.68;51.79;Altra-operazione
139;0;566;25.06;52.19;25.68;51.79;Altra-operazione
