T(degC);Rho(kg/m3);Cp(kJ/kg*K);Lambda(W/m*K);Ni(m2/s);Beta(1/K);Pr(-)
-150;2.793;1.026;0.0116;0.00000308;0.00821;0.76
-100;1.980;1.009;0.0160;0.00000595;0.00582;0.74
-50;1.534;1.005;0.0204;0.00000955;0.00451;0.725
0;1.293;1.005;0.0243;0.00001330;0.00367;0.715
20;1.205;1.005;0.0257;0.00001511;0.00343;0.713
40;1.127;1.005;0.0271;0.00001697;0.00320;0.711
60;1.067;1.009;0.0285;0.00001890;0.00300;0.709
80;1.000;1.009;0.0299;0.00002094;0.00283;0.708
100;0.946;1.009;0.0314;0.00002306;0.00268;0.703
120;0.898;1.013;0.0328;0.00002523;0.00255;0.70
140;0.854;1.013;0.0343;0.00002755;0.00243;0.695
160;0.815;1.017;0.0358;0.00002985;0.00232;0.69
180;0.779;1.022;0.0372;0.00003229;0.00221;0.69
200;0.746;1.026;0.0386;0.00003463;0.00211;0.685
250;0.675;1.034;0.0421;0.00004117;0.00191;0.68
300;0.616;1.047;0.0454;0.00004785;0.00175;0.68
350;0.566;1.055;0.0485;0.00005505;0.00161;0.68
400;0.524;1.068;0.0515;0.00006253;0.00149;0.68
